sku,model
1030,Brother AX10
1030,Brother AX10C
1030,Brother AX10Oeko
1030,Brother AX100
1030,Brother AX110
1030,Brother AX12
1030,Brother AX12M
1030,Brother AX120
1030,Brother AX130
1030,Brother AX140
1030,Brother AX145
1030,Brother AX15
1030,Brother AX18
1030,Brother AX20
1030,Brother AX210
1030,Brother AX22
1030,Brother AX220
1030,Brother AX230
1030,Brother AX24
1030,Brother AX240
1030,Brother AX245
1030,Brother AX25
1030,Brother AX250
1030,Brother AX26
1030,Brother AX28
1030,Brother AX30
1030,Brother AX300
1030,Brother AX310
1030,Brother AX320
1030,Brother AX325
1030,Brother AX33
1030,Brother AX330
1030,Brother AX340
1030,Brother AX35
1030,Brother AX350
1030,Brother AX370
1030,Brother AX40
1030,Brother AX400
1030,Brother AX410
1030,Brother AX420
1030,Brother AX425
1030,Brother AX430
1030,Brother AX440
1030,Brother AX45
1030,Brother AX450
1030,Brother AX475
1030,Brother AX500
1030,Brother AX525
1030,Brother AX550
1030,Brother AX600
1030,Brother AX625
1030,Brother CE340
1030,Brother CE360
1030,Brother CE380
1030,Brother Compactronic300
1030,Brother Compactronic300M
1030,Brother Compactronic310
1030,Brother Compactronic320
1030,Brother Compactronic340
1030,Brother Compactronic35
1030,Brother Compactronic350
1030,Brother Compactronic360
1030,Brother Compactronic380
1030,Brother Correctronic145
1030,Brother Correctronic320
1030,Brother Correctronic340
1030,Brother Correctronic360
1030,Brother Correctronic380
003R99709,Brother DCP1000
DR8000,Brother DCP1000
DR8000RT,Brother DCP1000
TN8000,Brother DCP1000
TN8000RT,Brother DCP1000
LC41LC47LC900BKT-PR4,Brother DCP105C
LC41LC47LC900BT,Brother DCP105C
LC41LC47LC900CT,Brother DCP105C
LC41LC47LC900MT,Brother DCP105C
LC41LC47LC900YT,Brother DCP105C
LC900BK,Brother DCP105C
LC900BKBP2,Brother DCP105C
LC900C,Brother DCP105C
LC900M,Brother DCP105C
LC900VALBP,Brother DCP105C
LC900Y,Brother DCP105C
LC41LC47LC900BKT-PR4,Brother DCP110
LC41LC47LC900BT,Brother DCP110
LC41LC47LC900CT,Brother DCP110
LC41LC47LC900MT,Brother DCP110
LC41LC47LC900YT,Brother DCP110
LC900BK,Brother DCP110
LC900C,Brother DCP110
LC900M,Brother DCP110
LC900VALBP,Brother DCP110
LC900Y,Brother DCP110
LC41LC47LC900BKT-PR4,Brother DCP110C
LC41LC47LC900BT,Brother DCP110C
LC41LC47LC900CT,Brother DCP110C
LC41LC47LC900MT,Brother DCP110C
LC41LC47LC900YT,Brother DCP110C
LC900BK,Brother DCP110C
LC900BKBP2,Brother DCP110C
LC900C,Brother DCP110C
LC900M,Brother DCP110C
LC900VALBP,Brother DCP110C
LC900Y,Brother DCP110C
LC41LC47LC900BKT-PR4,Brother DCP115C
