"* From %s to %s (%s)","* From %s to %s (%s)"
"Action","Action"
"Abandoned Carts","Abandoned Carts"
"Abandoned Carts Total","Abandoned Carts Total"
"Abandonment Rate","Abandonment Rate"
"Add attribute","Add attribute"
"Add Attribute","Add Attribute"
"Address","Address"
"Advanced Reports","Advanced Reports"
"Advanced","Advanced"
"Aggregation Options","Aggregation Options"
"All Time","All Time"
"All Websites","All Websites"
"Apply","Apply"
"At","At"
"Attribute Options","Attribute Options"
"Are you sure?","Are you sure?"
"Average Order Value","Average Order Value"
"Background color","Background color"
"Bestsellers Report","Bestsellers Report"
"Bestsellers","Bestsellers"
"by Country","by Country"
"by Customer Group","by Customer Group"
"by Day of Week","by Day of Week"
"by Hour","by Hour"
"by Product","by Product"
"by Manufacturer","by Manufacturer"
"by Category","by Category"
"by Coupon Code","by Coupon Code"
"by Payment Type","by Payment Type"
"by Product Attributes","by Product Attributes"
"by ZIP Code","by ZIP Code"
"Statistics","Statistics"
"CSV","CSV"
"Cache clean error","Cache clean error"
"Cache is clear now","Cache is clear now"
"Cancel","Cancel"
"Canceled","Canceled"
"Chart color","Chart color"
"Chart","Chart"
"Charts Options","Charts Options"
"Choose columns to show","Choose columns to show"
"City","City"
"Clean Cache","Clean Cache"
"Closed","Closed"
"Columns","Columns"
"Complete","Complete"
"Configuration","Configuration"
"Cost","Cost"
"Country","Country"
"Coupon Code","Coupon Code"
"Completed Carts","Completed Carts"
"Copy all sent reports to this folder","Copy all sent reports to this folder"
"Created At","Created At"
"Customers","Customers"
"CUSTOMERS","CUSTOMERS"
"Customers by Country","Customers by Country"
"Custom date range","Custom date range"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Customer Group","Customer Group"
"Customization","Customization"
"Dashboard","Dashboard"
"Day of Week","Day of Week"
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Date Added","Date Added"
"Date Range","Date Range"
"Daily","Daily"
"Detailed","Detailed"
"Discounts","Discounts"
"Email","Email"
"Email Recipients","Email Recipients"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enabled","Enabled"
"Excel","Excel"
"Exclude","Exclude"
"Export to:","Export to:"
"Filter options","Filter options"
"Friday","Friday"
"File Format","File Format"
"First Name","First Name"
"Font color","Font color"
"Font size (px)","Font size (px)"
"Frequency","Frequency"
"From","From"
"General","General"
"Grouped","Grouped"
"Group By","Group By"
"Header customization","Header customization"
"Height (px)","Height (px)"
"Hour","Hour"
"Include refunded items","Include refunded items"
"Include","Include"
"Invoiced Incl. Tax","Invoiced Incl. Tax"
"Invoiced","Invoiced"
"It is not possible to build the chart.","It is not possible to build the chart."
"Items","Items"
"Items Ordered","Items Ordered"
"Items per Order","Items per Order"
"Items Purchased","Items Purchased"
"Item Final Price(Avg)","Item Final Price(Avg)"
"Last 7 days","Last 7 days"
"Last business week (Mon - Fri)","Last business week (Mon - Fri)"
"Last month","Last month"
"Last Name","Last Name"
"Last 30 days","Last 30 days"
"Last week","Last week"
"Manufacturer","Manufacturer"
"Maximum height is 300 px","Maximum height is 300 px"
"Modules","Modules"
"Mon","Mon"
"Month","Month"
"Monthly","Monthly"
"Monday","Monday"
"N","N"
"New Customers","New Customers"
"New Accounts","New Accounts"
"New Accounts with Orders","New Accounts with Orders"
"New Signups","New Signups"
"New vs Returning Customers","New vs Returning Customers"
