"My Favorites","My Favorites"
"Folder Details","Folder Details"
"Add New Folder","Add New Folder"
"Folder has been successfully saved","Folder has been successfully saved"
"Unable to find folder for saving","Unable to find folder for saving"
"Folder has been successfully removed","Folder has been successfully removed"
"Product has been successfully removed from the folder","Product has been successfully removed from the folder"
"There was an error while removing item from the folder: %s","There was an error while removing item from the folder: %s"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Product has been successfully added to the folder. Click <a href=""%s"">here</a> to continue shopping","Product has been successfully added to the folder. Click <a href=""%s"">here</a> to continue shopping"
"There was an error while adding item to the list: %s","There was an error while adding item to the list: %s"
"Can not save item: %s.","Can not save item: %s."
"Quantities have been successfully updated","Quantities have been successfully updated"
"Favorites Section","Favorites Section"
"Favorites","Favorites"
"Enabled","Enabled"
"Name","Name"
"Save Name","Save Name"
"ID","ID"
"Edit","Edit"
"Add to Cart","Add to Cart"
"Are you sure?","Are you sure?"
"Remove","Remove"
"Fill in your favorites products to be able to purchase all of them with one click!","Fill in your favorites products to be able to purchase all of them with one click!"
"Create New Folder","Create New Folder"
"Product","Product"
"Details","Details"
"Price","Price"
"Qty","Qty"
"Move to:","Move to:"
"Select ...","Select ..."
"All Folders","All Folders"
"Update","Update"
"Start adding items from the <a href=""%s"">catalog</a> to your Favorites right now!","Start adding items from the <a href=""%s"">catalog</a> to your Favorites right now!"
"Add to Favorites","Add to Favorites"
"General","General"
"There was an error while uploading CSV: %s","There was an error while uploading CSV: %s"
"Import from CSV was successfully finished","Import from CSV was successfully finished"
"check uploaded file","check uploaded file"
"New product list with name "%s" was created","New product list with name "%s" was created"
"Nothing was imported","Nothing was imported",
"has no qty","has no qty"
"no product with SKU "%s" was found","no product with SKU "%s" was found"
"product with SKU "%s" is already processed","product with SKU "%s" is already processed"
"line","line"
