# if you want to translate any word or sentence below then
# change only the value after comma and between Quotation marks

"Percentage Pricing","Percentage Pricing"


# Backend text start from here 
"Rule Manager","Rule Manager"
"ID","ID"
"No records found.","No records found."
"Manage Rules","Manage Rules"
"Name Of Rule","Name Of Rule"
"Action By","Action By"
"Amount","Amount"
"Status","Status"
"Action","Action"
"Delete","Delete"
"Change status","Change status"
"Add Rule","Add Rule"
"Rule","Rule"
"Rule Information","Rule Information"
"Description","Description"
"Conditions","Conditions"
"Name","Name"
"Priorty","Priorty"
"Store View","Store View"
"Customer Groups","Customer Groups"
"Description","Description"
"Status","Status"
"Apply","Apply"
"Amount","Amount"
"Enable","Enable"
"Disabled","Disabled"
"Please Select The Action...","Please Select The Action..."
"By Percentage Of Cost","By Percentage Of Cost"
"By Fixed Amount","By Fixed Amount"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
