"Do not optimize these images","Do not optimize these images"
"will be created folders: ""{root_website_path}/media/media_original_images"" and ""{root_website_path}/skin/frontend/skin_original_images""","will be created folders: ""{root_website_path}/media/media_original_images"" and ""{root_website_path}/skin/frontend/skin_original_images"""
"In some rare cases it does not optimize images correctly. If Specify image size to images, e.g. skin/frontend/default/default/images/logo.gif. You can use line breaks to specify several images. Use new line as separate","In some rare cases it does not optimize images correctly. If Specify image size to images, e.g. skin/frontend/default/default/images/logo.gif. You can use line breaks to specify several images. Use new line as separate"
"Start Process","Start Process"
"<a target=""_blank"" href=""http://php.net/manual/en/function.exec.php"">exec</a> function enabled required. Please, save configuration before start optimization.","<a target=""_blank"" href=""http://php.net/manual/en/function.exec.php"">exec</a> function enabled required. Please, save configuration before start optimization."
"JS/CSS Compressor","JS/CSS Compressor"
"General","General"
"Enabled","Enabled"
"JavaScript Settings","JavaScript Settings"
"Merge JavaScript Files","Merge JavaScript Files"
"Compression Enabled","Compression Enabled"
"Gzip Enabled","Gzip Enabled"
"<a target=""_blank"" href=""http://httpd.apache.org/docs/2.2/mod/mod_deflate.html"">mod_deflate</a> enabled required","<a target=""_blank"" href=""http://httpd.apache.org/docs/2.2/mod/mod_deflate.html"">mod_deflate</a> enabled required"
"CSS Settings","CSS Settings"
"Merge Css Files","Merge Css Files"
"Create images backups","Create images backups"
