"General Information","Información general"
"Group Name","Nombre del grupo"
"Markup Type","Tipo de impuesto"
"Markup Amount","Suma del imuesto"
"Status","Status"
"Active","Activo"
"Inactive","Inactivo"
"Customer Groups","Grupos de clientes"
"ID","ID"
"Name","Nombre"
"SKU","Número de referencia SKU"
"Price","Precio"
"Group Information","Información del grupo"
"General","General"
"Group Products","Productos del grupo"
"Save Group","Guardar grupo"
"Delete Group","Eliminar grupo"
"Save And Continue Edit","Guardar y continuar modificar"
"Alert","Alerta"
"Add Group","Añadir grupo"
"Edit Group '%s'","Modificar grupo '%s'"
"Group Title","Título del grupo"
"Type","Tipo"
"Fixed","Fijo"
"Percent","Porcentaje"
"Amount","Suma"
"Action","Acción"
"Edit","Modificar"
"Actions","Acciones"
"Select","Seleccionar"
"Increase Markup","Aumentar el impuesto"
"Decrease Markup","Disminuir el impuesto"
"Increase Percent Markup","Aumentar el porcentaje del impuesto"
"Decrease Percent Markup","Disminuir el porcentaje del impuesto"
"Increase Fixed Markup","Aumentar el impuesto fijo"
"Decrease Fixed Markup","Disminuir el impuesto fijo"
"Increase/decrease by ","Aumentar/disminuir en"
"Stop further rules processing","Detener el siguiente procesamiento de reglas"
"Yes","Sí"
"No","No"
"day (s)","día (s)"
"month (s)","mes (es)"
"year (s)","año (s)"
"is","es"
"is not","no es"
"equals or greater than","es igual o superior a"
"equals or less than","es igual o inferior a"
"greater than","mayor que"
"less than","menor que"
"is one of","es uno de"
"is not one of","no es uno de"
"Rule Name","Nombre de la regla"
"Group","Grupo"
"Priority","Prioridad"
"Rule Information","Información de reglas"
"Conditions","Condiciones"
"Save Rule","Guardar regla"
"Delete Rule","Eliminar regla"
"Add Rule","Añadir regla"
"Edit Rule '%s'","Editar regla '%s'"
"Rule Groups","Grupos de reglas"
"Manage Groups","Administrar grupos"
"Manage Automatic Price Rules","Administrar reglas de precios automáticas"
"Group manager","Administrador de grupo"
"Catalog","Catálogo"
"Cost Based Price","Precio basado en el costo"
"New Group","Grupo nuevo"
"Group does not exist","El grupo no existe"
"Group was successfully saved","El grupo ha sido guardado correctamente"
"Item was successfully deleted","El atributo ha sido eliminado correctamente"
"Rules manager","Admnistrador de reglas"
"New Rule","Regla nueva"
"Rule does not exist","La regla no existe"
"Rule was successfully saved","La regla ha sido guardada correctamente"
"Automatic Pricing","Fijación de precios automática"
"Groups","Grupos"
"Rules","Reglas"
"Delivery Date","Fecha de la entrega"
"Automatic Pricing Settings","Configuración de fijación de precios automática"
"Automatic Pricing Enabled by Default","La fijación de precios automática está habilitada por defecto"
"Disabled","Deshabilitado"
"inactive","inactivo"
"Automatic Pricing Group","Grupo de precios automático"
"If revenue for the last","si los ingresos de los últimos"
"Cost based price","Precio basado en el costo"
"Tier price","Nivel de precios"
