"General Information","Informations générales"
"Group Name","Nom du groupe"
"Markup Type","Type de balisage"
"Markup Amount","Montant de balisage"
"Status","Statut"
"Active","Actif"
"Inactive","Inactif"
"Customer Groups","Groupes du client"
"ID","ID"
"Name","Nom"
"SKU","URS (Unité retenue de stock)"
"Price","Prix"
"Group Information","Information du groupe"
"General","Général"
"Group Products","Produits du groupe"
"Save Group","Sauvegarder la groupe"
"Delete Group","Supprimer la groupe"
"Save And Continue Edit","Sauvegarder et continuer à modifier"
"Alert","Alerte"
"Add Group","Ajouter une groupe"
"Edit Group '%s'","Modifier le groupe '%s'"
"Group Title","Titre du groupe"
"Type","Type"
"Fixed","Fixé"
"Percent","Pourcent"
"Amount","Montant"
"Action","Action"
"Edit","Modifier"
"Actions","Actions"
"Select","Sélectionner"
"Increase Markup","Augmentation de balisage"
"Decrease Markup","Diminution de balisage"
"Increase Percent Markup","Augmenter le pourcentage de balisage"
"Decrease Percent Markup","Diminuer le pourcentage de balisage"
"Increase Fixed Markup","Augmentation de balisage fixe"
"Decrease Fixed Markup","Diminution de balisage fixe"
"Increase/decrease by ","Augmentation/ diminution par"
"Stop further rules processing","Arrêt de développer des règles "
"Yes","Oui"
"No","Non"
"day (s)","jour (s)"
"month (s)","mois"
"year (s)","année (s)"
"is","est"
"is not","n'est pas"
"equals or greater than","égal ou plus que"
"equals or less than","égal ou moins que"
"greater than","plus que"
"less than","moins que"
"is one of","est l'un de(s)"
"is not one of","n'est pas l'un de(s)"
"Rule Name","Nom de la règle"
"Group","Groupe"
"Priority","Priorité"
"Rule Information","Information des règles"
"Conditions","Conditions"
"Save Rule","Enregistrer la règle"
"Delete Rule","Supprimer la règle"
"Add Rule","Ajouter une règle"
"Edit Rule '%s'","Edit '%s' article"
"Rule Groups","Groupes de règles"
"Manage Groups","Gérer les groupes"
"Manage Automatic Price Rules","Gérer les règles de prix automatique"
"Group manager","Gestionnaire de groupe"
"Catalog","Catalogue"
"Cost Based Price","Prix basée sur les coûts"
"New Group","Nouvelle groupe"
"Group does not exist","La groupe n'existe pas"
"Group was successfully saved","La groupe a été sauvegardé avec succès"
"Item was successfully deleted","Article a été supprimé avec succès"
"Rules manager","Gestionnaire de règles"
"New Rule","La nouvelle règle"
"Rule does not exist","Règle n'existe pas"
"Rule was successfully saved","La règle a été enregistré avec succès"
"Automatic Pricing","Tarification automatique"
"Groups","Groupes"
"Rules","Règles"
"Delivery Date","Date de livraison"
"Automatic Pricing Settings","Paramètres de prix automatique"
"Automatic Pricing Enabled by Default","Tarification automatique activée par défaut"
"Disabled","Désactivé"
"inactive","inactif"
"Automatic Pricing Group","Groupe de tarification automatique"
"If revenue for the last","Si le revebue pour le dernier"
"Cost based price","Prix basée sur les coûts"
"Tier price","Niveau des prix"
