"Profit Report","Rapport de marges"
"Display report","Afficher le rapport"
"Download report","T&eacute;l&eacute;charger le rapport"
"Report settings","Param&egrave;tres du rapport"
"From","Date de d&eacute;but"
"To","Date de fin"
"Axe","Axe"
"Sku details","D&eacute;tail par produit"
"Preview","Pr&eacute;visualisation"
"subitem","Sous axe"
"order_count","Nb commande"
"customer_count","Nb client"
"product_count","Nb produit"
"total_sales","CA"
"total_percent_sales","% CA"
"margin_total","Marge valeur"
"margin_percent","Marge %"
"contribution_point","Point contribution"
"contribution_percent","% contribution"
"Other","Autres"
"Totals","Totaux"
"category","Cat&eacute;gories"
"attributeset","Jeux d'attribut"
"country","Pays"
"customer_group","Groupe client"
"manufacturer","Fabricant"
