"STATUS_BEGIN","Inizio"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_REQUEST","Richiesta"
"STATUS_REQUEST_EXPIRED","Richiesta scaduta"
"STATUS_REJECTED","cancellato"
"STATUS_CANCELED","proposta cancellata"
"STATUS_PROPOSAL","proposta inviata"
"STATUS_PROPOSAL_EXPIRED","proposta scaduta"
"STATUS_DENIED","proposta rifiutata"
"STATUS_CONFIRMED","proposta confermata"
"STATUS_PROPOSAL_SAVED","proposta salvata"
"Owner price","prezzo proposto"
"Information","informazioni"
"Quote view","Vedi preventivo"
"Optional Information","informazioni opzionali"
"Save Quote","salva preventivo"
"Cancel Quote","cancella preventivo"
"Quote #","Richiesta di preventivo #"
"Created On","Creato il"
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Country","Paese"
"Country","Paese"
"City","Città"
"Status","Stato"
"Action","Azione"
"View","Vista"
"Delete","Cancella"
"Are you sure?","Sei sicuro?"
"Change status","Cambia Stato"
"Status","Stato"
"Quotations","Preventivi"
"Items Manager","Gestione Prodotti"
"Item Manager","Gestione Prodotto"
"Item does not exist","Prodotto non esistente"
"Quote was successfully saved","La richiesta di preventivo e' stata correttamente salvata"
"Unable to find item to save","Impossibile trovare il prodotto da salvare"
"Quote was successfully canceled","Richiesta di preventivo correttamente cancellata"
"Please select item(s)","Prego selezionare prodotti"
"Quote Proposal","Proposta di preventivo"
"Log in and <a href='%s'>click on to View Quote.</a>","Login in e <a href='%s'>clicca su Vedi preventivo.</a>"
"Thanks for your Quote request.","Grazie per aver effettuato una richiesta di preventivo."
"Quote information is avaliable by link below","Informazioni del preventivo e' disponibile nel link qui sotto"
"Unable to send email.","Impossibile inviare la mail."
"Quote request information","Commenti generali"
"Quote request information","Commenti generali"
"Product name","Nome prodotto"
"Sku","SKU"
"SKU","SKU"
"Price","Prezzo"
"Requested information","Informazioni richieste"
"Comment with Product","Commenti prodotto"
"Qty","Qtà"
"Allowed to Quote Mode","Permetti modalità preventivo"
"Make shipping proposal?","Fare una proposta di spedizione?"
"Price","Prezzo"
"Product Information","Informazioni prodotto"
"Shipping information","Informazioni di spedizione"
"Quote_Proposal","Proposta_preventivo"
"Price_proposal_%s","Proposta_prezzo_%s"
"Date of Proposal","Data di proposta"
"Product","Prodotto"
"Price","Prezzo"
"Price proposal","Prezzo proposto"
"Price Proposal","Prezzo proposto"
"QTY","QTY"
"Tax","Tax"
"Subtotal","Totale"
"Last update","Ultimo aggiornamento"
"Add Quote","Aggiungi preventivo"
"View Quote","Vedi Preventivo"
"Create New Quote","Crea nuovo preventivo"
"Add Selected Product(s) to Advanced Quote","Aggiungi I prodotti selezionati  per il preventivo"
"Quote request","Richiesta preventivo"
"Quote # %s | Quote Date %s","Richiesta preventivo # %s | Data richiesta preventivo %s"
"Quote","Richiesta preventivo"
"Quote Status","Stato richiesta preventivo"
"RFQ From","RFQ Da"
"Customer Name","Nome cliente"
"Customer Group","Gruppo cliente"
"Shipping address","Indirizzo di spedizione"
"Quote #","Richiesta preventivo #"
"Advanced quote","""Richiedi per un preventivo"""
"Configuration","""Configurazione"""
"General","""Generale"""
"Expiration time for quote request","""Tempo di scadenza richiesta preventivo"""
"Expiration time for quote proposal","""Tempo di scadenza per proposta di preventivo"""
"Set standard (fixed) remark with proposal","""Set standard (fisso) nota con la proposta"""
"Add remark that appears in new proposal email and in the quote proposal PDF","""Aggiungi nota che appare nelle nuove email e proposta di Preventivo in PDF"""
"Quote number format","""Formato numero preventivo"""
"Default Quote Prefix","""Prefisso Preventivo di default"""
"Default Starting Number","""Numero di partenza di default"""
"Default Increment","""Incremento di default"""
"Number Length","""Numero di Lunghezza"""
