"%s days","%s dagen"
"Access denied!","Geen toegang!"
"Account Information","Account informatie"
"Action is blocked in quote confirmation mode","Actie is geblokkeerd in offerte bevestiging status"
"Add to Cart","Bestel"
"Add to Quote","Offerte"
"Address","Adres"
"All items were moved to cart successfully.","Alle producten zijn succesvol in winkelwagen geplaatst."
"Allowed to Quote Mode","Toegang tot offerte modus"
"Art. nr.","Art. nr."
"Back to My Quotes","Terug naar Mijn offertes"
"Be advised to enter your comments","Vul uw opmerkingen, gewenste aantallen en gegevens alleen in als u klaar bent met de offerte aanvraag. Deze informatie wordt gewist als u dit scherm verlaat zonder de offerte aanvraag te verzenden. Als u een account heeft log dan eerst in."
"Billing address wasn't added","Factuur adres niet ingevuld"
"By deleting an item, you will create a new quote request. Do you want to do this?","Door een product te verwijderen maakt u een nieuwe offerte aanvraag. Wilt u dat?"
"Can not add client note request to the product.","Kan de opmerking niet toevoegen aan het product."
"Can not add customer address.","Kan klantadres niet toevoegen"
"Can not add one of the items to quote request.","Kan een van de producten niet toevoegen aan de offerte aanvraag."
"Cancel","Annuleer"
"Can't remove item","Kan product niet verwijderen"
"Can't update quote list","Kan offerte lijst niet aanpassen"
"cart2quote cancel","cart2quote annuleren"
"cart2quote new account","cart2quote nieuwe account"
"cart2quote proposal","cart2quote offerte"
"cart2quote reject","cart2quote afwijzen"
"cart2quote request","cart2quote aanvraag"
"Change to Order mode?","Omschakelen naar bestel modus?"
"Change to Quotation mode?","Omschakelen naar offerte modus?"
"Change to Quote mode?","Omschakelen naar offerte modus?"
"Checking..","Controleren..."
"City","Plaats"
"Company","Bedrijfsnaam"
"Confirm and CheckOut","Bevestigen en betalen"
"Continue","Doorgaan"
"Continue Shopping","Verder winkelen"
"Country","Land"
"Customer email already exists. You should login <a href=%s>here</a>","Dit email adres bestaat al. Klik <a href=%s>hier om in te loggen</a>"
"Date","Datum"
"Date of Proposal","Offerte datum"
"Default Address","Standaard adres"
"Do you have a general remark with your quote request?","Heeft u een opmerking bij deze offerte aanvraag?"
"Edit Quote","Offerte wijzigen"
"Edit Request", "Offerte wijzigen"
"Email Address","Email adres"
"Email already exists","Email adres bestaat al"
"Enter your destination to get a shipping quotation","Vul hier het juiste verzend adres in voor berekening van de verzendkosten"
"Enter your destination to receive a shipping quotation.","Vul uw gegevens in om een offerte te ontvangen"
"Fax","Fax"
"First Name","Voornaam"
"Fixed Shipping & Handling price","Vaste verzend- en behandelkosten"
"Information by Quote request avaliable by link below","Informatie voor offerte aanvraag beschikbaar via onderstaande link"
"Item %s wasn't  moved to Shopping cart","Product %s is niet naar de winkelwagen verplaatst"
"Item %s wasn't  removed from Quote mode","Product %s is niet verwijderd van de offerte aanvraag"
"Item was deleted successfully.","Het product is succesvol verwijderd."
"Item was moved to cart successfully.","Het product is succesvol in de winkelwagen geplaatst."
"Item was moved to quote successfully.","Het product is succesvol verplaatst naar de offerte aanvraag."
"Item(s) were moved from Quote to Order mode successfully.","Artikelen zijn succesvol overgezet van offerte aanvraag naar winkelwagen"
"Items Quoted","Producten aangevraagd"
"Last Name","Achternaam"
"Log in and <a href='%s'>click on to View Quote.</a>","Log in en <a href='%s'>bekijk de offerte.</a>"
"My Quote list","Mijn offerte aanvragen"
"My quote request","Mijn offerte aanvraag"
"My quote request (%s item)","Mijn offerte aanvraag (%s item)"
"My quote request (%s items)","Mijn offerte aanvraag (%s items)"
"My Quotes","Mijn offertes"
"New Address","Nieuw adres"
"No item in quote.","Geen producten in de offerte."
"No Items to display.","Geen producten om te laten zien."
"Order Mode","Direct bestellen"
"Original Price","Originele prijs"
"Owner price","Offerte prijs"
"Please enter an valid email address","Vul hier een geldig email adres in"
"Please select region, state or province","Kies hier de provincie"
"Please select required qty and check out online to see applicable price.","Kies eerst het gewenste aantal, de verzendkosten worden getoond in het betaalproces."
"Please specify product quantity.","Vul het aantal in."
"Price Proposal","Offerte prijs"
"Print Quote","Offerte uitprinten"
"Product %s successfully added to Quote Request","Product %s is succesvol toegevoegd aan de offerte aanvraag"
"Product %s was deleted from your shopping cart","Product %s is verwijderd van de winkelwagen"
"Product Name","Productnaam"
"Proposal valid until","Offerte geldig tot"
"Proposal Valid Until: %s","Offerte geldig tot: %s"
"Qquote cancel email was't sent to admin for quote #%s","De offerte-annuleren email is niet verstuurd naar admin voor offerte aanvraag #%s"
"Qquote proposal email was't sent to the client for quote #%s","De offerte email is niet verstuurd naar de klant voor offerte aanvraag #%s"
"Qquote request email was't sent to admin for quote #%s","De offerte aanvraag email is niet verstuurd naar admin voor offerte #%s"
"Qty","Aantal"
"Quotation # %s","Berekening # %s"
"Quotation #%s - Proposal","Offerte aanvraag #%s"
"Quotation #%s was rejected","Offerte #%s is afgewezen"
"Quotation Date: %s","Offerte datum: %s"
"Quote","Offerte"
"Quote #","Offerte #"
"Quote #%s","Offerte #%s"
"Quote List","Offerte lijst"
"Quote list was updated successfully.","De offerte lijst is succesvol aangepast."
"Quote mode","Offerte modus"
"Quote Proposal","Offerte nummer"
"Quote Request in Process, wait for price proposal Shop owner","Offerte aanvraag in behandeling, wacht op een prijsvoorstel."
"Quote request information","Offerte aanvraag informatie"
"Quote shipping proposal from owner","Offerte verzendkosten"
"Quote Status","Offerte status"
"Reject Proposal","Offerte afwijzen"
"Remark with Proposal","Opmerking bij offerte"
"Remove","Verwijderen"
"Remove item","Verwijder product"
"Request for Quote","Offerte aanvraag"
"Request information","Opmerkingen en/of wensen voor dit product"
"Request quote","Vraag offerte aan"
"Requested information","Opmerkingen"
"Required Fields","Verplichte velden"
"Resubmit Quote","Vraag opnieuw aan"
"ship to:","verzend:"
"Shipping & Handling price per product per Unit","Verzend- en behandelkosten per product per eenheid"
"Shipping & Handling price varies.","Verzend- en behandelkosten varieren."
"Shipping Address","Verzend adres"
"Shipping details","Verzend gegevens"
"Shipping Method","Verzend methode"
"State/Province","Provincie"
"Status","Status"
"STATUS_BEGIN","Gestart"
"STATUS_CANCELED","Offerte geannuleerd"
"STATUS_CONFIRMED","Offerte geaccepteerd"
"STATUS_DENIED","Offerte geweigerd"
"STATUS_PROPOSAL","Offerte gereed"
"STATUS_PROPOSAL_EXPIRED","Offerte verlopen"
"STATUS_PROPOSAL_SAVED","Offerte in Afwachting"
"STATUS_AUTO_PROPOSAL","Offerte gereed"
"STATUS_REJECTED","Afgewezen"
"STATUS_REQUEST","In behandeling"
"STATUS_REQUEST_EXPIRED","Aanvraag verlopen"
"STATUS_ORDERED", "Omgezet naar bestelling"
"Switch to Order mode","Omschakelen naar bestel modus"
"Switch to Quote mode","Omschakelen naar offerte modus"
"TAX","BTW"
"Telephone","Telefoon"
