rootid,store,name,categories,description,is_active,is_anchor,display_mode,include_in_menu,part_finders,category_products
3,default,Brother,Brother,Brother,1,1,PRODUCTS,0,brother,1030
3,default,"Brother AX","Brother/Brother AX","Brother AX",1,1,PRODUCTS,0,"brother ax",1030
3,default,"Brother CE","Brother/Brother CE","Brother CE",1,1,PRODUCTS,0,"brother ce",1030
3,default,"Brother Compactronic","Brother/Brother Compactronic","Brother Compactronic",1,1,PRODUCTS,0,"brother compactronic",1030
3,default,"Brother Correctronic","Brother/Brother Correctronic","Brother Correctronic",1,1,PRODUCTS,0,"brother correctronic",1030
3,default,"Brother DCP","Brother/Brother DCP","Brother DCP",1,1,PRODUCTS,0,"brother dcp","BU320CL,DR321CL,DR321CLRT,TN321BK,TN321BKRT,TN321C,TN321CRT,TN321M,TN321MRT,TN321Y,TN321YRT,TN326BK,TN326BKRT,TN326C,TN326CRT,TN326M,TN326MRT,TN326Y,TN326YRT,TN329BK,TN329BKRT,TN329C,TN329CRT,TN329M,TN329MRT,TN329Y,TN329YRT,WT320CL"
3,default,"Brother DP 300","Brother/Brother DP 300","Brother DP 300",1,1,PRODUCTS,0,"brother dp300","13400HCRM,13619HCRM"
3,default,"Brother EM","Brother/Brother EM","Brother EM",1,1,PRODUCTS,0,"brother em",1030
3,default,"Brother Fax","Brother/Brother Fax","Brother Fax",1,1,PRODUCTS,0,"brother fax","PC70,PC71RF,PC72RF,PC74RF"
3,default,"Brother Fax T","Brother/Brother Fax T","Brother Fax T",1,1,PRODUCTS,0,"brother faxt","PC70,PC71RF,PC72RF,PC74RF"
3,default,"Brother GX","Brother/Brother GX","Brother GX",1,1,PRODUCTS,0,"brother gx",1030
3,default,"Brother HL","Brother/Brother HL","Brother HL",1,1,PRODUCTS,0,"brother hl","003R93518,003R97029,1538A003AART,92298ART,92298XRT,TN9000RT"
3,default,"Brother HL-L","Brother/Brother HL-L","Brother HL-L",1,1,PRODUCTS,0,"brother hl-l","DR421CL,TN910BK,TN910C,TN910M,TN910Y"
3,default,"Brother HL-P","Brother/Brother HL-P","Brother HL-P",1,1,PRODUCTS,0,"brother hl-p","DR6000,DR6000RT,TN6300,TN6300RT,TN6600,TN6600RT"
3,default,"Brother Intellifax","Brother/Brother Intellifax","Brother Intellifax",1,1,PRODUCTS,0,"brother intellifax","PC301,PC302RF,PC304RF"
