Customer Number,Rep Code,,,,,
173379,9,,,,,
538,9,,,,,
126,9,,,,,
742,9,,,,,
183163,9,,,,,
1083,9,,,,,
368,9,,,,,
89,9,,,,,
183522,9,,,,,
173823,9,,,,,
1013,9,,,,,
819,9,,,,,
802,9,,,,,
735,9,,,,,
174050,9,,,,,
257,9,,,,,
177144,9,,,,,
66,9,,,,,
525,9,,,,,
483,9,,,,,
173380,9,,,,,
180030,9,,,,,
832,9,,,,,
173815,9,,,,,
1003,9,,,,,
174524,9,,,,,
564,9,,,,,
451,9,,,,,
36454,9,,,,,
250,9,,,,,
269,9,,,,,
173385,9,,,,,
1022,9,,,,,
325,9,,,,,
168,9,,,,,
182887,9,,,,,
934,9,,,,,
681,9,,,,,
174862,9,,,,,
1093,9,,,,,
309,9,,,,,
835,9,,,,,
770,9,,,,,
184199,9,,,,,
862,9,,,,,
191352,9,,,,,
188827,9,,,,,
864,9,,,,,
58,9,,,,,
176002,9,,,,,
174052,9,,,,,
1037,9,,,,,
314,9,,,,,
199,9,,,,,
163,9,,,,,
414,9,,,,,
247,9,,,,,
70,9,,,,,
917,9,,,,,
520,9,,,,,
173382,9,,,,,
497,9,,,,,
180082,9,,,,,
177771,9,,,,,
881,9,,,,,
866,9,,,,,
103,9,,,,,
359,9,,,,,
797,9,,,,,
702,9,,,,,
174705,9,,,,,
173331,9,,,,,
328,9,,,,,
773,9,,,,,
174083,9,,,,,
54339,9,,,,,
183,9,,,,,
649,9,,,,,
180606,9,,,,,
283,9,,,,,
275,9,,,,,
183156,9,,,,,
638,9,,,,,
686,9,,,,,
69,9,,,,,
173728,9,,,,,
177565,9,,,,,
389,9,,,,,
192556,9,,,,,
643,9,,,,,
173,9,,,,,
958,9,,,,,
509,9,,,,,
48528,9,,,,,
179447,9,,,,,
62454,9,,,,,
298,9,,,,,
174726,9,,,,,
342,9,,,,,
321,9,,,,,
174855,9,,,,,
1077,9,,,,,
180424,9,,,,,
176682,9,,,,,
174689,9,,,,,
612,9,,,,,
936,9,,,,,
642,9,,,,,
187858,9,,,,,
182283,9,,,,,
182756,9,,,,,
712,9,,,,,
174712,9,,,,,
175291,9,,,,,
532,9,,,,,
186852,9,,,,,
181232,9,,,,,
173932,9,,,,,
995,9,,,,,
65,9,,,,,
878,9,,,,,
177564,9,,,,,
583,9,,,,,
869,9,,,,,
191110,9,,,,,
177934,9,,,,,
173601,9,,,,,
620,9,,,,,
473,9,,,,,
75,9,,,,,
162008,9,,,,,
174447,9,,,,,
596,9,,,,,
188323,9,,,,,
768,9,,,,,
173376,9,,,,,
194315,9,,,,,
364,9,,,,,
820,9,,,,,
507,9,,,,,
173599,9,,,,,
330,9,,,,,
174472,9,,,,,
249,9,,,,,
173384,9,,,,,
173915,9,,,,,
90,9,,,,,
850,9,,,,,
176463,9,,,,,
31,9,,,,,
879,9,,,,,
24,9,,,,,
713,9,,,,,
177343,9,,,,,
675,9,,,,,
173345,9,,,,,
184885,9,,,,,
179026,9,,,,,
179936,9,,,,,
183204,9,,,,,
231,9,,,,,
1025,9,,,,,
134,9,,,,,
404,9,,,,,
960,9,,,,,
192959,9,,,,,
176006,9,,,,,
177783,9,,,,,
174095,9,,,,,
236,9,,,,,
877,9,,,,,
216,9,,,,,
88,9,,,,,
178430,9,,,,,
180204,9,,,,,
105,9,,,,,
310,9,,,,,
128,9,,,,,
189863,9,,,,,
263,9,,,,,
1088,9,,,,,
194686,9,,,,,
111,9,,,,,
682,9,,,,,
180252,9,,,,,
484,9,,,,,
442,9,,,,,
1105,9,,,,,
176507,9,,,,,
178446,9,,,,,
106080,9,,,,,
841,9,,,,,
192209,9,,,,,
975,9,,,,,
174107,9,,,,,
194257,9,,,,,
186008,9,,,,,
191428,9,,,,,
173338,9,,,,,
175505,9,,,,,
1030,9,,,,,
454,9,,,,,
192274,9,,,,,
156,9,,,,,
779,9,,,,,
428,9,,,,,
36,9,,,,,
961,9,,,,,
180603,9,,,,,
194162,9,,,,,
1106,9,,,,,
182482,9,,,,,
194897,9,,,,,
145,9,,,,,
178509,9,,,,,
176291,9,,,,,
205,9,,,,,
887,9,,,,,
15,9,,,,,
647,9,,,,,
630,9,,,,,
725,9,,,,,
398,9,,,,,
651,9,,,,,
182261,9,,,,,
518,9,,,,,
179986,9,,,,,
124,9,,,,,
189445,9,,,,,
180399,9,,,,,
336,9,,,,,
615,9,,,,,
177576,9,,,,,
557,9,,,,,
177942,9,,,,,
109,9,,,,,
213,9,,,,,
242,9,,,,,
969,9,,,,,
181255,9,,,,,
160,9,,,,,
426,9,,,,,
482,9,,,,,
175985,9,,,,,
561,9,,,,,
194875,9,,,,,
760,9,,,,,
270,9,,,,,
68620,9,,,,,
29,9,,,,,
204,9,,,,,
178457,9,,,,,
365,9,,,,,
180268,9,,,,,
35,9,,,,,
174444,9,,,,,
344,9,,,,,
173323,9,,,,,
16088,9,,,,,
3,9,,,,,
21,9,,,,,
23,9,,,,,
45,9,,,,,
53,9,,,,,
55,9,,,,,
62,9,,,,,
81,9,,,,,
82,9,,,,,
94,9,,,,,
101,9,,,,,
122,9,,,,,
162,9,,,,,
170,9,,,,,
178,9,,,,,
180,9,,,,,
194,9,,,,,
203,9,,,,,
210,9,,,,,
211,9,,,,,
212,9,,,,,
215,9,,,,,
230,9,,,,,
255,9,,,,,
258,9,,,,,
261,9,,,,,
272,9,,,,,
273,9,,,,,
285,9,,,,,
289,9,,,,,
317,9,,,,,
318,9,,,,,
320,9,,,,,
335,9,,,,,
340,9,,,,,
343,9,,,,,
351,9,,,,,
357,9,,,,,
367,9,,,,,
376,9,,,,,
379,9,,,,,
384,9,,,,,
388,9,,,,,
393,9,,,,,
407,9,,,,,
422,9,,,,,
423,9,,,,,
431,9,,,,,
481,9,,,,,
489,9,,,,,
498,9,,,,,
499,9,,,,,
500,9,,,,,
548,9,,,,,
566,9,,,,,
567,9,,,,,
592,9,,,,,
605,9,,,,,
609,9,,,,,
614,9,,,,,
616,9,,,,,
645,9,,,,,
671,9,,,,,
692,9,,,,,
705,9,,,,,
721,9,,,,,
722,9,,,,,
741,9,,,,,
765,9,,,,,
810,9,,,,,
828,9,,,,,
838,9,,,,,
858,9,,,,,
872,9,,,,,
883,9,,,,,
898,9,,,,,
940,9,,,,,
946,9,,,,,
956,9,,,,,
994,9,,,,,
1004,9,,,,,
1014,9,,,,,
1021,9,,,,,
1024,9,,,,,
1036,9,,,,,
1043,9,,,,,
1060,9,,,,,
1089,9,,,,,
1090,9,,,,,
1091,9,,,,,
1097,9,,,,,
3571,9,,,,,
