sku,printer_search
1030,"Brother AX-10,Brother AX-10 C,Brother AX-10 Oeko,Brother AX-100,Brother AX-110,Brother AX-12,Brother AX-12 M,Brother AX-120,Brother AX-130,Brother AX-140,Brother AX-145,Brother AX-15,Brother AX-18,Brother AX-20,Brother AX-210,Brother AX-22,Brother AX-220,Brother AX-230,Brother AX-24,Brother AX-240,Brother AX-245,Brother AX-25,Brother AX-250,Brother AX-26,Brother AX-28,Brother AX-30,Brother AX-300,Brother AX-310,Brother AX-320,Brother AX-325,Brother AX-33,Brother AX-330,Brother AX-340,Brother AX-35,Brother AX-350,Brother AX-370,Brother AX-40,Brother AX-400,Brother AX-410,Brother AX-420,Brother AX-425,Brother AX-430,Brother AX-440,Brother AX-45,Brother AX-450,Brother AX-475,Brother AX-500,Brother AX-525,Brother AX-550,Brother AX-600,Brother AX-625,Brother CE 340,Brother CE 360,Brother CE 380,Brother Compactronic 300,Brother Compactronic 300 M,Brother Compactronic 310,Brother Compactronic 320,Brother Compactronic 340,Brother Compactronic 35,Brother Compactronic 350,Brother Compactronic 360,Brother Compactronic 380,Brother Correctronic 145,Brother Correctronic 320,Brother Correctronic 340,Brother Correctronic 360,Brother Correctronic 380"
003R99709,"Brother DCP-1000"
DR8000,"Brother DCP-1000"
DR8000RT,"Brother DCP-1000"
TN8000,"Brother DCP-1000"
TN8000RT,"Brother DCP-1000"
LC41LC47LC900BKT-PR4,"Brother DCP-105 C"
LC41LC47LC900BT,"Brother DCP-105 C"
LC41LC47LC900CT,"Brother DCP-105 C"
LC41LC47LC900MT,"Brother DCP-105 C"
LC41LC47LC900YT,"Brother DCP-105 C"
